date,amount,description,method
2024-01-02,220,Swiggy order,UPI
2024-01-03,480,Uber trip,CARD
2024-01-04,1299,Netflix subscription,CARD
2024-01-05,320,Amazon Pay India groceries,UPI
2024-01-06,180,Zomato cafe,UPI
2024-01-07,55,Metro recharge,UPI
2024-01-08,999,Amazon shopping,CARD
2024-01-09,299,Spotify subscription,CARD
2024-01-10,260,Swiggy order,UPI
2024-01-11,420,Ola ride,UPI
2024-01-12,650,Electricity bill,UPI
2024-01-13,210,Restaurant dinner,CARD
2024-01-14,150,Mobile recharge,UPI
2024-01-15,780,Amazon Pay India,CARD
2024-01-16,120,Zomato lunch,UPI
2024-01-18,320,Swiggy dinner,UPI
2024-01-19,220,Uber trip,UPI
2024-01-20,1599,Amazon electronics,CARD
2024-01-22,240,Gas bill,UPI
2024-01-24,199,Hotstar annual,UPI
2024-01-25,410,Uber trip,UPI
2024-01-26,310,Swiggy snacks,UPI
2024-01-27,550,Flipkart shopping,CARD
2024-01-28,199,Prime membership,CARD
2024-01-29,260,Zomato lunch,UPI
2024-01-30,430,Ola ride,CARD
2024-02-01,1299,Netflix subscription,CARD
2024-02-02,220,Swiggy order,UPI
2024-02-03,520,Uber trip,CARD
2024-02-04,320,Amazon Pay India groceries,UPI
2024-02-05,180,Zomato cafe,UPI
2024-02-06,55,Metro recharge,UPI
2024-02-07,299,Spotify subscription,CARD
2024-02-08,260,Swiggy order,UPI
2024-02-09,420,Ola ride,UPI
2024-02-10,650,Broadband bill,UPI
2024-02-11,210,Restaurant dinner,CARD
2024-02-12,150,Mobile recharge,UPI
2024-02-13,780,Amazon Pay India,CARD
2024-02-14,120,Zomato lunch,UPI
2024-02-15,320,Swiggy dinner,UPI
2024-02-16,220,Uber trip,UPI
2024-02-17,1599,Amazon electronics,CARD
2024-02-18,240,Gas bill,UPI
2024-02-19,-320,Swiggy refund,UPI
2024-02-20,410,Uber trip,UPI
